Longitude,Latitude,,addr:street,amenity,name
103.852162,1.298062,,,taxi,Marsiling Station
103.835924,1.304288,,,taxi,Ministry of Manpower
103.855908,1.310819,,,taxi,Murray Terrace Food Alley
103.84962,1.300462,,,taxi,Newton Station
103.90503,1.302298,,,taxi,Nicoll Highway Station
103.893242,1.3187,,,taxi,Northpoint Shopping Centre
103.850391,1.291978,,Coleman Street,taxi,OCBC Centre
103.84231,1.283519,,,taxi,Queenstown Station
103.849276,1.29421,,,taxi,Radin Mas Community Club
103.869374,1.331689,,,taxi,Red Dot Musuem
103.868817,1.332548,,,taxi,Redhill Station
103.848838,1.282638,,,taxi,Robinson 77
103.902776,1.404838,,,taxi,Robinson Point
103.90217,1.405584,,,taxi,SGX Centre
103.803476,1.288239,,,taxi,Seletar Airport Passenger Terminal
103.801193,1.440894,,,taxi,Sembawang Station
103.883165,1.316018,,Lorong 25A Geylang,taxi,Sengkang Station
103.843371,1.275018,,,taxi,Serangoon Plaza
103.849439,1.369827,,,taxi,Sheng Siong Hypermart
103.848803,1.286878,,,taxi,Sim Lim Square
103.85201,1.287515,,,taxi,Singapore General Hospital
to,Empress,Place,,,Singapore Turf Club
103.850798,1.324684,,,taxi,Straits Trading
103.835822,1.316235,,,taxi,Sultan Plaza
103.880471,1.342315,,,taxi,Tanglin Mall
103.850258,1.298414,,,taxi,Tanjong Katong Complex
103.863371,1.318318,,,taxi,Telok Ayer Station
103.851244,1.283458,,,taxi,Thian Hock Keng Temple
103.848107,1.351548,,,taxi,Tiong Bahru Market
103.824886,1.274123,,,taxi,Tiong Bahru Plaza
103.816872,1.282855,,,taxi,Toa Payoh Community Library
103.84688,1.333632,,,taxi,White Sands
103.787949,1.311742,,,taxi,Woodlands Train Checkpoint Complex
103.870652,1.353249,,,taxi,Woodleigh Station
103.72517,1.350126,,,taxi,Yew Tee Station
103.986876,1.389726,,,taxi,Yishun Station
103.914914,1.305157,,,taxi,Siloso Point
103.908965,1.304848,,,taxi,Bukit Panjang Plaza
103.814458,1.32151,,,taxi,Palawan
103.846332,1.341039,,Lorong 1 Toa Payoh,taxi,Stadium Station
103.893213,1.382602,,,taxi,F01
103.844358,1.281283,,,taxi,Lakeside Station
103.855608,1.300009,,,taxi,Zhongshan Mall
103.856425,1.298927,,,taxi,Drop off point
103.775786,1.343226,,,taxi,Drop-Off Point 1
103.79297,1.310155,,,taxi,Drop-off Point 2
103.839593,1.336939,,,taxi,Drop-off Point 3
103.849808,1.282034,,,taxi,PickUp/DropOff Point
103.84747,1.277316,,,taxi,JTC Summit
103.851372,1.292656,,,taxi,Singpost Centre Main Entry
103.852592,1.295722,,Bras Basah Road,taxi,Cashew MRT Taxi Stand (Exit A)
103.842162,1.288645,,,taxi,Parc Riveria pickup point
103.846244,1.288817,,,taxi,Singpost Centre North Lobby
103.990285,1.361146,,,taxi,G27 TAXI STAND
103.988541,1.355802,,,taxi,Singapore National Eye Centre Entrance
103.986755,1.355077,,,taxi,National Cancer Centre Singapore Entrance
103.84659,1.283492,,,taxi,SGH Block 4 Entrance
103.844849,1.285567,,,taxi,F60
103.731935,1.343037,,,taxi,Whistler Grand pickup point
103.743855,1.384298,,,taxi,Twin View Pickup Point
103.894043,1.314667,,,taxi,Bayfront Avenue outside Marina Bay MRT station
103.846256,1.282472,,,taxi,Marina Coastal Drive outside Marina South Pier MRT Station
103.84503,1.290652,,,taxi,Marina Gardens Drive outside Gardens by the Bay MRT Station
103.84609,1.291131,,,taxi,College Clinic Pickup/Dropoff
103.785928,1.317812,,,taxi,Taxi Stop
103.845186,1.291732,,,taxi,F66
103.830434,1.305157,,,taxi,F67
